year,avg_air_temp_adjusted,lakeid,ice_on,ice_off
1893,-1.8845303867403307,Lake Monona,1893-12-02,1894-03-11
1894,-3.2337016574585657,Lake Mendota,1894-12-28,1895-04-08
1894,-3.2337016574585657,Lake Monona,1894-12-25,1895-04-08
1895,-1.7060439560439558,Lake Mendota,1896-01-05,1896-04-05
1895,-1.7060439560439558,Lake Monona,1895-12-04,1896-04-01
1896,-2.2270718232044193,Lake Mendota,1896-12-21,1897-04-10
1896,-2.2270718232044193,Lake Monona,1896-12-03,1897-04-05
1897,-2.2784530386740323,Lake Mendota,1897-12-17,1898-03-27
1897,-2.2784530386740323,Lake Monona,1897-12-15,1898-03-26
1898,-4.3723756906077345,Lake Mendota,1898-12-09,1899-04-18
1898,-4.3723756906077345,Lake Monona,1898-12-07,1899-04-15
1899,-2.2038674033149186,Lake Mendota,1899-12-27,1900-04-17
1899,-2.2038674033149186,Lake Monona,1899-12-25,1900-04-16
1900,-2.619889502762431,Lake Mendota,1900-12-25,1901-04-11
1900,-2.619889502762431,Lake Monona,1900-12-14,1901-04-11
1901,-2.2138121546961336,Lake Mendota,1901-12-15,1902-03-30
1901,-2.2138121546961336,Lake Monona,1901-12-14,1902-03-27
1902,-1.0950276243093926,Lake Mendota,1902-12-25,1903-03-24
1902,-1.0950276243093926,Lake Monona,1902-12-26,1903-03-21
1903,-5.38956043956044,Lake Mendota,1903-12-13,1904-04-17
1903,-5.38956043956044,Lake Monona,1903-11-27,1904-04-15
1904,-3.2469613259668497,Lake Mendota,1904-12-14,1905-04-01
1904,-3.2469613259668497,Lake Monona,1904-12-13,1905-04-03
1905,-1.827624309392266,Lake Mendota,1906-01-01,1906-04-08
1905,-1.827624309392266,Lake Monona,1905-12-14,1906-04-08
1906,-2.3082872928176785,Lake Mendota,1906-12-20,1907-03-24
1906,-2.3082872928176785,Lake Monona,1906-12-08,1907-03-24
1907,-1.2164835164835168,Lake Mendota,1908-01-01,1908-03-24
1907,-1.2164835164835168,Lake Monona,1907-12-11,1908-03-26
1908,-2.239779005524862,Lake Mendota,1908-12-22,1909-04-07
1908,-2.239779005524862,Lake Monona,1908-12-09,1909-04-06
1909,-1.3895027624309366,Lake Mendota,1909-12-18,1910-03-26
1909,-1.3895027624309366,Lake Monona,1909-12-18,1910-03-24
1910,-2.273480662983427,Lake Mendota,1910-12-09,1911-03-20
1910,-2.273480662983427,Lake Monona,1910-12-08,1911-03-21
1911,-5.170879120879119,Lake Mendota,1911-12-28,1912-04-14
1911,-5.170879120879119,Lake Monona,1911-12-18,1912-04-09
1912,-1.9320441988950263,Lake Mendota,1912-12-24,1913-04-02
1912,-1.9320441988950263,Lake Monona,1912-12-19,1913-04-02
1913,-1.035911602209946,Lake Mendota,1914-01-12,1914-04-10
1913,-1.035911602209946,Lake Monona,1913-12-27,1914-03-20
1914,-1.7596685082872943,Lake Mendota,1914-12-16,1915-04-10
1914,-1.7596685082872943,Lake Monona,1914-12-15,1915-04-09
1915,-2.3901098901098905,Lake Mendota,1915-12-28,1916-04-08
1915,-2.3901098901098905,Lake Monona,1915-12-15,1916-04-04
1916,-4.283425414364642,Lake Mendota,1916-12-16,1917-04-11
1916,-4.283425414364642,Lake Monona,1916-12-16,1917-04-11
1917,-3.998895027624308,Lake Mendota,1917-12-11,1918-04-05
1917,-3.998895027624308,Lake Monona,1917-12-08,1918-04-03
1918,-0.14806629834253981,Lake Mendota,1919-01-03,1919-03-26
1918,-0.14806629834253981,Lake Monona,1918-12-27,1919-03-20
1919,-4.815934065934063,Lake Mendota,1919-12-09,1920-03-28
1919,-4.815934065934063,Lake Monona,1919-12-03,1920-03-28
1920,0.059668508287296154,Lake Mendota,1920-12-25,1921-03-16
1920,0.059668508287296154,Lake Monona,1920-12-21,1921-03-16
1921,-2.40497237569061,Lake Mendota,1921-12-25,1922-03-31
1921,-2.40497237569061,Lake Monona,1921-12-19,1922-03-25
1922,-2.881767955801104,Lake Mendota,1922-12-16,1923-04-20
1922,-2.881767955801104,Lake Monona,1922-12-13,1923-04-19
1923,-1.846703296703296,Lake Mendota,1924-01-01,1924-04-14
1923,-1.846703296703296,Lake Monona,1924-01-01,1924-04-13
1924,-1.7430939226519322,Lake Mendota,1924-12-19,1925-04-03
1924,-1.7430939226519322,Lake Monona,1924-12-14,1925-03-27
1925,-3.3403314917127087,Lake Mendota,1925-12-16,1926-04-19
1925,-3.3403314917127087,Lake Monona,1925-12-10,1926-04-15
1926,-1.964088397790055,Lake Mendota,1926-12-06,1927-03-19
1926,-1.964088397790055,Lake Monona,1926-12-05,1927-03-17
1927,-2.1032967032967034,Lake Mendota,1927-12-17,1928-04-01
1927,-2.1032967032967034,Lake Monona,1927-12-09,1928-03-26
1928,-2.934254143646409,Lake Mendota,1928-12-21,1929-03-27
1928,-2.934254143646409,Lake Monona,1928-12-21,1929-03-27
1929,-2.1861878453038686,Lake Mendota,1929-12-03,1930-03-20
1929,-2.1861878453038686,Lake Monona,1929-12-03,1930-03-17
1930,0.05580110497237685,Lake Mendota,1930-12-16,1931-03-24
1930,0.05580110497237685,Lake Monona,1930-12-16,1931-03-24
1931,-0.018681318681318795,Lake Mendota,1932-01-30,1932-04-04
1931,-0.018681318681318795,Lake Monona,1932-01-30,1932-03-30
1932,-1.8425414364640882,Lake Mendota,1932-12-10,1933-04-04
1932,-1.8425414364640882,Lake Monona,1932-12-10,1933-03-27
1933,-2.00939226519337,Lake Mendota,1933-12-25,1934-03-26
1933,-2.00939226519337,Lake Monona,1933-12-13,1934-03-26
1934,-1.6337016574585652,Lake Mendota,1934-12-24,1935-03-28
1934,-1.6337016574585652,Lake Monona,1934-12-20,1935-03-28
1935,-4.7274725274725276,Lake Mendota,1935-12-20,1936-03-30
1935,-4.7274725274725276,Lake Monona,1935-12-11,1936-03-27
1936,-2.8756906077348057,Lake Mendota,1936-12-07,1937-04-13
1936,-2.8756906077348057,Lake Monona,1936-12-04,1937-04-12
1937,-1.0906077348066272,Lake Mendota,1937-12-07,1938-03-22
1937,-1.0906077348066272,Lake Monona,1937-12-01,1938-03-22
1938,-1.451933701657458,Lake Mendota,1938-12-28,1939-04-04
1938,-1.451933701657458,Lake Monona,1938-12-19,1939-03-31
1939,-2.3461538461538467,Lake Mendota,1940-01-02,1940-04-16
1939,-2.3461538461538467,Lake Monona,1939-12-31,1940-04-11
1940,-1.652486187845304,Lake Mendota,1941-01-05,1941-04-11
1940,-1.652486187845304,Lake Monona,1940-12-03,1941-04-09
1941,-0.006077348066298812,Lake Mendota,1942-01-03,1942-03-26
1941,-0.006077348066298812,Lake Monona,1941-12-29,1942-03-24
1942,-3.3801104972375695,Lake Mendota,1942-12-07,1943-04-02
1942,-3.3801104972375695,Lake Monona,1942-12-07,1943-03-31
1943,-1.853846153846153,Lake Mendota,1943-12-16,1944-04-08
1943,-1.853846153846153,Lake Monona,1943-12-14,1944-03-24
1944,-1.06243093922652,Lake Mendota,1944-12-18,1945-03-20
1944,-1.06243093922652,Lake Monona,1944-12-18,1945-03-17
1945,-0.8154696132596695,Lake Mendota,1945-12-13,1946-03-21
1945,-0.8154696132596695,Lake Monona,1945-12-12,1946-03-21
1946,-1.8292817679558016,Lake Mendota,1946-12-30,1947-04-10
1946,-1.8292817679558016,Lake Monona,1946-12-18,1947-04-05
1947,-2.505494505494506,Lake Mendota,1947-12-21,1948-04-03
1947,-2.505494505494506,Lake Monona,1947-12-09,1948-03-26
1948,-1.0381215469613254,Lake Mendota,1948-12-24,1949-03-30
1948,-1.0381215469613254,Lake Monona,1948-12-24,1949-03-26
1949,-2.3508287292817682,Lake Mendota,1949-12-23,1950-04-11
1949,-2.3508287292817682,Lake Monona,1949-12-15,1950-04-07
1950,-3.881215469613261,Lake Mendota,1950-12-11,1951-04-12
1950,-3.881215469613261,Lake Monona,1950-12-11,1951-04-08
1951,-2.110989010989011,Lake Mendota,1951-12-16,1952-04-08
1951,-2.110989010989011,Lake Monona,1951-12-16,1952-04-06
1952,-0.5889502762430937,Lake Mendota,1952-12-30,1953-03-21
1952,-0.5889502762430937,Lake Monona,1952-12-17,1953-03-20
1953,0.239226519337017,Lake Mendota,1953-12-30,1954-03-25
1953,0.239226519337017,Lake Monona,1953-12-30,1954-03-12
1954,-0.9381215469613275,Lake Mendota,1955-01-02,1955-04-04
1954,-0.9381215469613275,Lake Monona,1954-12-31,1955-03-24
1955,-2.8675824175824176,Lake Mendota,1955-12-12,1956-04-04
1955,-2.8675824175824176,Lake Monona,1955-12-06,1956-03-24
1956,-1.3419889502762425,Lake Mendota,1956-12-14,1957-04-04
1956,-1.3419889502762425,Lake Monona,1956-12-13,1957-03-15
1957,-1.4563535911602212,Lake Mendota,1957-12-30,1958-04-04
1957,-1.4563535911602212,Lake Monona,1957-12-12,1958-03-31
1958,-3.532596685082873,Lake Mendota,1958-12-09,1959-04-14
1958,-3.532596685082873,Lake Monona,1958-12-08,1959-04-12
1959,-2.3005494505494504,Lake Mendota,1959-12-29,1960-04-12
1959,-2.3005494505494504,Lake Monona,1959-12-29,1960-04-08
1960,-1.1596685082872946,Lake Mendota,1960-12-19,1961-04-06
1960,-1.1596685082872946,Lake Monona,1960-12-19,1961-03-27
1961,-2.7850828729281742,Lake Mendota,1961-12-16,1962-04-12
1961,-2.7850828729281742,Lake Monona,1961-12-15,1962-04-07
1962,-2.9375690607734835,Lake Mendota,1962-12-12,1963-04-03
1962,-2.9375690607734835,Lake Monona,1962-12-12,1963-04-03
1963,-0.9637362637362622,Lake Mendota,1963-12-20,1964-04-11
1963,-0.9637362637362622,Lake Monona,1963-12-18,1964-03-19
1964,-2.6381215469613277,Lake Mendota,1964-12-15,1965-04-14
1964,-2.6381215469613277,Lake Monona,1964-12-15,1965-04-08
1965,-1.3734806629834257,Lake Mendota,1966-01-11,1966-03-17
1965,-1.3734806629834257,Lake Monona,1966-01-11,1966-03-17
1966,-1.351933701657458,Lake Mendota,1966-12-26,1967-04-03
1966,-1.351933701657458,Lake Monona,1967-01-05,1967-04-03
1967,-0.5675824175824172,Lake Mendota,1967-12-27,1968-03-27
1967,-0.5675824175824172,Lake Monona,1967-12-24,1968-03-20
1968,-1.6049723756906074,Lake Mendota,1968-12-17,1969-04-10
1968,-1.6049723756906074,Lake Monona,1968-12-15,1969-03-26
1969,-2.325966850828729,Lake Mendota,1969-12-16,1970-04-08
1969,-2.325966850828729,Lake Monona,1969-12-16,1970-03-18
1970,-2.39779005524862,Lake Mendota,1970-12-24,1971-04-13
1970,-2.39779005524862,Lake Monona,1970-12-15,1971-03-18
1971,-2.5461538461538464,Lake Mendota,1972-01-05,1972-04-19
1971,-2.5461538461538464,Lake Monona,1972-01-04,1972-04-08
1972,-0.4082872928176779,Lake Mendota,1972-12-07,1973-03-14
1972,-0.4082872928176779,Lake Monona,1972-12-07,1973-03-07
1973,-1.1657458563535932,Lake Mendota,1973-12-21,1974-04-05
1973,-1.1657458563535932,Lake Monona,1973-12-20,1974-03-24
1974,-1.3734806629834266,Lake Mendota,1975-01-02,1975-04-19
1974,-1.3734806629834266,Lake Monona,1975-01-02,1975-04-07
1975,0.7126373626373639,Lake Mendota,1975-12-27,1976-03-24
1975,0.7126373626373639,Lake Monona,1975-12-21,1976-03-20
1976,-2.6834254143646423,Lake Mendota,1976-12-03,1977-03-28
1976,-2.6834254143646423,Lake Monona,1976-12-01,1977-03-14
1977,-3.779005524861876,Lake Mendota,1977-12-07,1978-04-11
1977,-3.779005524861876,Lake Monona,1977-12-07,1978-04-07
1978,-4.054143646408839,Lake Mendota,1978-12-10,1979-04-19
1978,-4.054143646408839,Lake Monona,1978-12-09,1979-04-05
1979,-2.0115384615384606,Lake Mendota,1979-12-29,1980-04-06
1979,-2.0115384615384606,Lake Monona,1979-12-17,1980-03-30
1980,-0.2546961325966835,Lake Mendota,1980-12-20,1981-03-23
1980,-0.2546961325966835,Lake Monona,1980-12-20,1981-03-16
1981,-3.167955801104972,Lake Mendota,1981-12-28,1982-04-03
1981,-3.167955801104972,Lake Monona,1981-12-20,1982-03-30
1982,-0.6248618784530386,Lake Mendota,1983-01-13,1983-03-08
1982,-0.6248618784530386,Lake Monona,1983-01-09,1983-03-06
1983,-2.5719780219780217,Lake Mendota,1983-12-19,1984-04-08
1983,-2.5719780219780217,Lake Monona,1983-12-18,1984-04-03
1984,-0.9734806629834272,Lake Mendota,1984-12-25,1985-03-27
1984,-0.9734806629834272,Lake Monona,1984-12-24,1985-03-26
1985,-2.4337016574585637,Lake Mendota,1985-12-14,1986-03-31
1985,-2.4337016574585637,Lake Monona,1985-12-06,1986-03-29
1986,0.40552486187845477,Lake Mendota,1986-12-13,1987-03-12
1986,0.40552486187845477,Lake Monona,1986-12-13,1987-03-08
1987,-1.1203296703296703,Lake Mendota,1988-01-02,1988-03-29
1987,-1.1203296703296703,Lake Monona,1987-12-25,1988-03-25
1988,-1.006629834254142,Lake Mendota,1988-12-29,1989-04-05
1988,-1.006629834254142,Lake Monona,1988-12-29,1989-04-01
1989,-0.4027624309392245,Lake Mendota,1989-12-12,1990-03-15
1989,-0.4027624309392245,Lake Monona,1989-12-07,1990-03-15
1990,-0.2121546961325951,Lake Mendota,1990-12-26,1991-03-24
1990,-0.2121546961325951,Lake Monona,1990-12-23,1991-03-21
1991,-0.13351648351648177,Lake Mendota,1991-12-18,1992-03-26
1991,-0.13351648351648177,Lake Monona,1991-12-16,1992-03-16
1992,-1.31767955801105,Lake Mendota,1992-12-24,1993-04-11
1992,-1.31767955801105,Lake Monona,1992-12-24,1993-04-11
1993,-1.9657458563535906,Lake Mendota,1993-12-27,1994-03-31
1993,-1.9657458563535906,Lake Monona,1993-12-26,1994-03-31
1994,0.10883977900552443,Lake Mendota,1995-01-06,1995-03-21
1994,0.10883977900552443,Lake Monona,1995-01-05,1995-03-31
1995,-3.2983516483516473,Lake Mendota,1995-12-10,1996-04-07
1995,-3.2983516483516473,Lake Monona,1995-11-29,1996-03-24
1996,-2.1983425414364626,Lake Mendota,1996-12-20,1997-04-01
1996,-2.1983425414364626,Lake Monona,1996-12-20,1997-03-26
1997,0.7419889502762437,Lake Mendota,1998-01-11,1998-02-27
1997,0.7419889502762437,Lake Monona,1998-01-11,1998-02-27
1998,0.7922651933701638,Lake Mendota,1998-12-30,1999-03-21
1998,0.7922651933701638,Lake Monona,1998-12-30,1999-03-10
1999,1.1093406593406592,Lake Mendota,2000-01-14,2000-03-07
1999,1.1093406593406592,Lake Monona,2000-01-14,2000-03-06
2000,-2.038674033149169,Lake Mendota,2000-12-13,2001-04-07
2000,-2.038674033149169,Lake Monona,2000-12-13,2001-03-31
2001,1.8237569060773482,Lake Mendota,2002-01-02,2002-03-15
2001,1.8237569060773482,Lake Monona,2002-01-01,2002-02-26
2002,-1.416022099447513,Lake Mendota,2003-01-04,2003-04-03
2002,-1.416022099447513,Lake Monona,2002-12-09,2003-03-22
2003,-0.14835164835164802,Lake Mendota,2004-01-07,2004-03-27
2003,-0.14835164835164802,Lake Monona,2003-12-25,2004-03-20
2004,0.6574585635359114,Lake Mendota,2004-12-25,2005-04-05
2004,0.6574585635359114,Lake Monona,2004-12-24,2005-03-31
2005,0.6651933701657454,Lake Mendota,2005-12-19,2006-03-24
2005,0.6651933701657454,Lake Monona,2005-12-08,2006-03-12
2006,0.16022099447513707,Lake Mendota,2007-01-20,2007-03-27
2006,0.16022099447513707,Lake Monona,2007-01-18,2007-03-26
2007,-2.1076923076923078,Lake Mendota,2007-12-26,2008-04-10
2007,-2.1076923076923078,Lake Monona,2007-12-07,2008-04-07
2008,-2.06243093922652,Lake Mendota,2008-12-16,2009-03-23
2008,-2.06243093922652,Lake Monona,2008-12-16,2009-03-24
2009,0.3701657458563509,Lake Mendota,2009-12-29,2010-03-26
2009,0.3701657458563509,Lake Monona,2009-12-27,2010-03-25
2010,-1.5563535911602198,Lake Mendota,2010-12-15,2011-04-03
2010,-1.5563535911602198,Lake Monona,2010-12-09,2011-04-03
2011,2.9730769230769205,Lake Mendota,2012-01-14,2012-03-11
2011,2.9730769230769205,Lake Monona,2012-01-03,2012-03-12
2012,-0.9756906077348069,Lake Mendota,2013-01-14,2013-04-11
2012,-0.9756906077348069,Lake Monona,2012-12-31,2013-04-11
2013,-3.9580110497237593,Lake Mendota,2013-12-16,2014-04-12
2013,-3.9580110497237593,Lake Monona,2013-12-10,2014-04-10
2014,-1.734806629834254,Lake Mendota,2015-01-02,2015-04-03
2014,-1.734806629834254,Lake Monona,2014-12-02,2015-04-02
2015,1.6148351648351646,Lake Mendota,2016-01-11,2016-03-13
2015,1.6148351648351646,Lake Monona,2016-01-11,2016-03-13
2016,1.2850828729281767,Lake Mendota,2017-01-01,2017-03-07
2016,1.2850828729281767,Lake Monona,2016-12-16,2017-03-07
2017,-2.0524861878453033,Lake Mendota,2017-12-27,2018-03-31
2017,-2.0524861878453033,Lake Monona,2017-12-26,2018-03-29
2018,-1.7558011049723745,Lake Mendota,2018-12-15,2019-03-31
2018,-1.7558011049723745,Lake Monona,2018-12-11,2019-03-31
2019,-0.8196721311475409,Lake Mendota,2020-01-12,2020-03-22
2019,-0.8196721311475409,Lake Monona,2019-12-16,2020-03-20
1852,NA,Lake Mendota,NA,1853-04-05
1853,NA,Lake Mendota,1853-12-27,NA
1855,NA,Lake Mendota,1855-12-18,1856-04-14
1856,NA,Lake Mendota,1856-12-06,1857-05-06
1857,NA,Lake Mendota,1857-11-25,1858-03-26
1858,NA,Lake Mendota,1858-12-08,1859-03-14
1859,NA,Lake Mendota,1859-12-07,1860-03-26
1860,NA,Lake Mendota,1860-12-14,1861-04-10
1861,NA,Lake Mendota,1861-12-02,1862-04-13
1862,NA,Lake Mendota,1862-12-26,1863-04-09
1863,NA,Lake Mendota,1863-12-18,1864-04-21
1864,NA,Lake Mendota,1864-12-08,1865-04-05
1865,NA,Lake Mendota,1865-12-14,1866-04-18
1866,NA,Lake Mendota,1866-12-18,1867-04-20
1867,NA,Lake Mendota,1867-12-12,1868-03-31
1851,NA,Lake Monona,1851-12-13,1852-03-25
1853,NA,Lake Monona,1853-12-21,NA
1855,NA,Lake Monona,1855-12-18,1856-04-14
1856,NA,Lake Monona,1856-12-04,1857-05-04
1857,NA,Lake Monona,1857-11-23,1858-03-22
1858,NA,Lake Monona,1858-12-11,1859-03-15
1859,NA,Lake Monona,1859-12-06,1860-03-26
1860,NA,Lake Monona,1860-12-02,1861-04-10
1861,NA,Lake Monona,1861-12-01,1862-04-13
1862,NA,Lake Monona,1862-12-07,1863-04-05
1863,NA,Lake Monona,1863-12-11,1864-04-20
1864,NA,Lake Monona,1864-12-09,1865-04-05
1865,NA,Lake Monona,1865-12-14,1866-04-18
1866,NA,Lake Monona,1866-12-12,1867-04-19
1867,NA,Lake Monona,1867-12-14,1868-03-31
